Amplicon_Length	Combination_Name	First_Round_End	First_Round_Start	Forward_Primer	Genotype	Reference	Region	Reverse_Primer	Round_Type
317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	1722	1384	DENV1_6_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV1_5_RIGHT_R	first
326	DENV1_7_LEFT_F_DENV1_18_RIGHT_R	5419	5074	DENV1_7_LEFT_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV1_18_RIGHT_R	first
757	DENV1_11_LEFT_F_CYD1_R	3883	3104	DENV1_11_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS3	CYD1_R	first
926	DENV1_13_LEFT_F_DEN-1-REVERSE_R	6305	5360	DENV1_13_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN-1-REVERSE_R	first
1340	DENV1_18_LEFT_F_DENV1_21_RIGHT_R	6376	5015	DENV1_18_LEFT_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV1_21_RIGHT_R	first
373	DENV1_23_LEFT_F_DEN-1-REVERSE_R	6305	5913	DENV1_23_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN-1-REVERSE_R	first
332	DENV2_12_LEFT_F_DENV2_17_RIGHT_R	3515	3164	DENV2_12_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS3	DENV2_17_RIGHT_R	first
773	DENV2_12_LEFT_F_DEN-2_R	3956	3164	DENV2_12_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS3	DEN-2_R	first
439	DENV2_18_LEFT_F_DEN2_CC_1_R	6723	6261	DENV2_18_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	DEN2_CC_1_R	first
551	DENV2_22_LEFT_F_DENV2_31_RIGHT_R	6459	5885	DENV2_22_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV2_31_RIGHT_R	first
375	DENV2_22_LEFT_F_NS3-1-O_R	6281	5885	DENV2_22_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	NS3-1-O_R	first
571	DENV2_22_LEFT_F_D2_R	6470	5878	DENV2_22_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
571	DENV2_22_LEFT_F_FAACOUFISPPAPR_4_R	6470	5878	DENV2_22_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	FAACOUFISPPAPR_4_R	first
314	DENV2_23_LEFT_F_DENV2_31_RIGHT_R	6459	6122	DENV2_23_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV2_31_RIGHT_R	first
334	DENV2_23_LEFT_F_D2_R	6470	6115	DENV2_23_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
334	DENV2_23_LEFT_F_FAACOUFISPPAPR_4_R	6470	6115	DENV2_23_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	FAACOUFISPPAPR_4_R	first
460	DENV2_24_LEFT_F_DENV2_RN_R1_R	6834	6354	DENV2_24_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_RN_R1_R	first
403	DENV2_24_LEFT_F_DOASSMFPSAGODV_6_R	6775	6354	DENV2_24_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_6_R	first
491	DENV2_25_LEFT_F_DEN-2_R	1548	1038	DENV2_25_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN-2_R	first
1329	DENV2_26_LEFT_F_MATK-1326_R	6439	5089	DENV2_26_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	MATK-1326_R	first
303	DENV3_6_LEFT_F_D3_R	1876	1554	DENV3_6_LEFT_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	D3_R	first
398	DENV3_6_LEFT_F_DENV3_6_RIGHT_R	1963	1544	DENV3_6_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_6_RIGHT_R	first
317	DENV3_6_LEFT_F_DENV3_27_RIGHT_R	1890	1552	DENV3_6_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV3_27_RIGHT_R	first
711	DENV3_16_LEFT_F_DENV3_4_RIGHT_R	6476	5744	DENV3_16_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_4_RIGHT_R	first
575	DENV3_16_LEFT_F_DEN3_CC_4_R	6339	5744	DENV3_16_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN3_CC_4_R	first
662	DENV3_20_LEFT_F_DENV3_4_RIGHT_R	6476	5793	DENV3_20_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_4_RIGHT_R	first
526	DENV3_20_LEFT_F_DEN3_CC_4_R	6339	5793	DENV3_20_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN3_CC_4_R	first
360	DENV3_21_LEFT_F_D2_R	6470	6089	DENV3_21_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
1316	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	6667	5332	DENV4_18_LEFT_F	DENV4	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV4_21_RIGHT_R	first
1430	DENV4_18_LEFT_F_DENV4_21_RIGHT_R	6774	5325	DENV4_18_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_21_RIGHT_R	first
1567	DENV4_18_LEFT_F_DENV4_28_RIGHT_R	6911	5325	DENV4_18_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_28_RIGHT_R	first
540	DENV4_18_LEFT_F_D4_R	5878	5325	DENV4_18_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D4_R	first
649	DENV4_26_LEFT_F_DENV4_4_RIGHT_R	1971	1301	DENV4_26_LEFT_F	DENV4	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV4_4_RIGHT_R	first
392	DENV4_26_LEFT_F_D2_R	6470	6057	DENV4_26_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
1548	DENV4_33_LEFT_F_DENV4_21_RIGHT_R	6774	5207	DENV4_33_LEFT_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV4_21_RIGHT_R	first
364	DENV3_SP2_F_DENV3_21_RIGHT_R	6509	6126	DENV3_SP2_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_21_RIGHT_R	first
591	DENV2_15_F_DEN2_CC_1_R	6723	6109	DENV2_15_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	DEN2_CC_1_R	first
413	DENV3_11_F_D3_R	3554	3121	DENV3_11_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS3	D3_R	first
569	DENV3_RN_F1_F_DENV3_5_RIGHT_R	1647	1056	DENV3_RN_F1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DENV3_5_RIGHT_R	first
761	DENV3_RN_F1_F_PRIMER_4_R	1839	1056	DENV3_RN_F1_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	PRIMER_4_R	first
563	DENV3_RN_F1_F_DENV3_5_RIGHT_R	1641	1056	DENV3_RN_F1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_5_RIGHT_R	first
886	DENV3_RN_F1_F_DENV3_6_RIGHT_R	1963	1056	DENV3_RN_F1_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_6_RIGHT_R	first
412	DENV3_RN_F2_F_GRP78_R	1617	1186	DENV3_RN_F2_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	GRP78_R	first
622	1721_F_DENV-4_R	3965	3325	1721_F	DENV4	GCF_000866625.1_ViralProj15598_genomic	NS3	DENV-4_R	first
589	DEN1_F5132_F_DENV1_19_RIGHT_R	5742	5132	DEN1_F5132_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV1_19_RIGHT_R	first
589	DEN1_F5132_F_DENV1_19_RIGHT_R	5743	5133	DEN1_F5132_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV1_19_RIGHT_R	first
589	DEN1_F5132_F_DENV1_19_RIGHT_R	5736	5126	DEN1_F5132_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV1_19_RIGHT_R	first
589	DEN1_F5132_F_DENV1_19_RIGHT_R	5741	5131	DEN1_F5132_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV1_19_RIGHT_R	first
1562	DEN3_F5396_F_DENV3_1_RIGHT_R	6986	5402	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_1_RIGHT_R	first
1053	DEN3_F5396_F_DENV3_4_RIGHT_R	6476	5402	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_4_RIGHT_R	first
765	DEN3_F5396_F_DENV3_20_RIGHT_R	6190	5402	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_20_RIGHT_R	first
1513	DEN3_F5396_F_DODVRIPAPOSDIBUTTAAS_6_R	6937	5402	DEN3_F5396_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DODVRIPAPOSDIBUTTAAS_6_R	first
685	DEN3_F5396_F_DENV3_20_RIGHT_R	6111	5403	DEN3_F5396_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV3_20_RIGHT_R	first
625	DEN3_F5396_F_DENV3_24_RIGHT_R	6049	5403	DEN3_F5396_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV3_24_RIGHT_R	first
765	DEN3_F5396_F_DENV3_20_RIGHT_R	6184	5396	DEN3_F5396_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_20_RIGHT_R	first
