Primer	Reference	Start	End
D2_R	GCF_000862125.1_ViralProj15306_genomic	614	642
D2_R	GCF_000865065.1_ViralProj15599_genomic	618	646
D2_R	GCF_000866625.1_ViralProj15598_genomic	614	642
D2_R	GCF_000871845.1_ViralProj20183_genomic	616	644
1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	10476	10495
1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	10385	10404
1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	10449	10468
1G1P1_F	GCF_000871845.1_ViralProj20183_genomic	10462	10481
1G1P1_R	GCF_000862125.1_ViralProj15306_genomic	10675	10695
1G1P1_R	GCF_000865065.1_ViralProj15599_genomic	10589	10609
1G1P1_R	GCF_000866625.1_ViralProj15598_genomic	10647	10667
1G1P1_R	GCF_000871845.1_ViralProj20183_genomic	10663	10683
2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	9082	9103
2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	9074	9095
2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	9073	9094
2G2P5_F	GCF_000871845.1_ViralProj20183_genomic	9081	9102
2G2P5_R	GCF_000862125.1_ViralProj15306_genomic	9633	9653
2G2P5_R	GCF_000865065.1_ViralProj15599_genomic	6287	6307
2G2P5_R	GCF_000866625.1_ViralProj15598_genomic	9273	9293
2G2P5_R	GCF_000871845.1_ViralProj20183_genomic	9309	9329
1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	10506	10526
1G3P6_F	GCF_000865065.1_ViralProj15599_genomic	10415	10435
1G3P6_F	GCF_000866625.1_ViralProj15598_genomic	10479	10499
1G3P6_F	GCF_000871845.1_ViralProj20183_genomic	10492	10512
1G3P6_R	GCF_000862125.1_ViralProj15306_genomic	10666	10685
1G3P6_R	GCF_000865065.1_ViralProj15599_genomic	10580	10599
1G3P6_R	GCF_000866625.1_ViralProj15598_genomic	10638	10657
1G3P6_R	GCF_000871845.1_ViralProj20183_genomic	10654	10673
1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	135	153
1G4P217_F	GCF_000865065.1_ViralProj15599_genomic	139	157
1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	135	153
1G4P217_F	GCF_000871845.1_ViralProj20183_genomic	137	155
1G4P217_R	GCF_000862125.1_ViralProj15306_genomic	8929	8947
1G4P217_R	GCF_000865065.1_ViralProj15599_genomic	3766	3784
1G4P217_R	GCF_000866625.1_ViralProj15598_genomic	397	415
1G4P217_R	GCF_000871845.1_ViralProj20183_genomic	9320	9338
1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	9933	9953
1G5P30_F	GCF_000865065.1_ViralProj15599_genomic	9928	9948
1G5P30_F	GCF_000866625.1_ViralProj15598_genomic	9927	9947
1G5P30_F	GCF_000871845.1_ViralProj20183_genomic	9932	9952
1G5P30_R	GCF_000862125.1_ViralProj15306_genomic	10424	10442
1G5P30_R	GCF_000865065.1_ViralProj15599_genomic	10325	10343
1G5P30_R	GCF_000866625.1_ViralProj15598_genomic	10398	10416
1G5P30_R	GCF_000871845.1_ViralProj20183_genomic	10408	10426
MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	154	173
MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	10409	10428
MsoaiN_1_F	GCF_000866625.1_ViralProj15598_genomic	154	173
MsoaiN_1_F	GCF_000871845.1_ViralProj20183_genomic	156	175
MsoaiN_2_R	GCF_000862125.1_ViralProj15306_genomic	244	265
MsoaiN_2_R	GCF_000865065.1_ViralProj15599_genomic	4075	4096
MsoaiN_2_R	GCF_000866625.1_ViralProj15598_genomic	7887	7908
MsoaiN_2_R	GCF_000871845.1_ViralProj20183_genomic	246	267
DENV1_1_LEFT_F	GCF_000862125.1_ViralProj15306_genomic	13	32
DENV1_1_LEFT_F	GCF_000865065.1_ViralProj15599_genomic	13	32
DENV1_1_LEFT_F	GCF_000866625.1_ViralProj15598_genomic	13	32
DENV1_1_LEFT_F	GCF_000871845.1_ViralProj20183_genomic	13	32
DENV1_1_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	458	477
DENV1_1_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	462	481
