Amplicon_Length	Combination_Name	Forward_Primer	Reference	Reverse_Primer
199	1G1P1_F_1G1P1_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	1G1P1_R
202	1G1P1_F_1G1P1_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	1G1P1_R
190	1G1P1_F_1G3P6_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	1G3P6_R
221	1G1P1_F_DENV3_35_RIGHT_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_35_RIGHT_R
113	1G1P1_F_DENV4_34_RIGHT_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_34_RIGHT_R
159	1G1P1_F_DENV4_35_RIGHT_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_35_RIGHT_R
180	1G1P1_F_D3_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	D3_R
185	1G1P1_F_DENV2_36_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_36_R
207	1G1P1_F_DENV-3′-UTR_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV-3′-UTR_R
118	1G1P1_F_Smnfgsodv_7_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Smnfgsodv_7_R
156	1G1P1_F_D-R3_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	D-R3_R
198	1G1P1_F_DENV_R1-3_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV_R1-3_R
198	1G1P1_F_DENV_R4_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV_R4_R
236	1G1P1_F_Den4_R10653_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Den4_R10653_R
216	1G1P1_F_DV.L2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DV.L2_R
153	1G1P1_F_Den_R2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Den_R2_R
177	1G1P1_F_Den_R2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Den_R2_R
115	1G1P1_F_Den_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Den_R
178	1G1P1_F_DEN_RP2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DEN_RP2_R
216	1G1P1_F_DenAs_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DenAs_R
217	1G1P1_F_DenAs_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DenAs_R
238	1G1P1_F_D2-10723_RV_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	D2-10723_RV_R
237	1G1P1_F_Primer_3_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Primer_3_R
140	1G1P1_F_QSP-D3L_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	QSP-D3L_R
141	1G1P1_F_QSP-D4L_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	QSP-D4L_R
198	1G1P1_F_QST-D1L_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	QST-D1L_R
159	1G1P1_F_QST-D3L_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	QST-D3L_R
201	1G1P1_F_QST-D4L_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	QST-D4L_R
205	1G1P1_F_DENV.3_P.QRA_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV.3_P.QRA_R
114	1G1P1_F_CDC10564_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	CDC10564_R
218	1G1P1_F_DortPfdaqoDV_2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DortPfdaqoDV_2_R
202	1G1P1_F_Pan-DENV_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Pan-DENV_R
232	1G1P1_F_Dengue-2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Dengue-2_R
216	1G1P1_F_R2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	R2_R
175	1G1P1_F_D1–4_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	D1–4_R
199	1G1P1_F_Smnfgsodv_6_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Smnfgsodv_6_R
236	1G1P1_F_Den1_R10735_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Den1_R10735_R
216	1G1P1_F_DV.L1_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DV.L1_R
205	1G1P1_F_Fragment_B_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Fragment_B_R
239	1G1P1_F_Cebeof_1_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Cebeof_1_R
160	1G1P1_F_QSP-D2L_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	QSP-D2L_R
204	1G1P1_F_1G1P1_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	1G1P1_R
207	1G1P1_F_1G1P1_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	1G1P1_R
195	1G1P1_F_1G3P6_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	1G3P6_R
215	1G1P1_F_DENV1_31_RIGHT_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_31_RIGHT_R
226	1G1P1_F_DENV3_35_RIGHT_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_35_RIGHT_R
164	1G1P1_F_DENV4_35_RIGHT_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV4_35_RIGHT_R
190	1G1P1_F_DENV2_36_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_36_R
212	1G1P1_F_DENV-3′-UTR_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV-3′-UTR_R
161	1G1P1_F_D-R3_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	D-R3_R
180	1G1P1_F_GAPDH_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	GAPDH_R
203	1G1P1_F_DENV_R1-3_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV_R1-3_R
203	1G1P1_F_DENV_R4_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV_R4_R
241	1G1P1_F_Den4_R10653_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Den4_R10653_R
221	1G1P1_F_DV.L2_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DV.L2_R
158	1G1P1_F_Den_R2_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Den_R2_R
182	1G1P1_F_Den_R2_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Den_R2_R
122	1G1P1_F_Den_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Den_R
183	1G1P1_F_DEN_RP2_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DEN_RP2_R
221	1G1P1_F_DenAs_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DenAs_R
222	1G1P1_F_DenAs_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DenAs_R
243	1G1P1_F_D2-10723_RV_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	D2-10723_RV_R
242	1G1P1_F_Primer_3_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Primer_3_R
145	1G1P1_F_QSP-D3L_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	QSP-D3L_R
146	1G1P1_F_QSP-D4L_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	QSP-D4L_R
203	1G1P1_F_QST-D1L_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	QST-D1L_R
164	1G1P1_F_QST-D3L_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	QST-D3L_R
206	1G1P1_F_QST-D4L_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	QST-D4L_R
210	1G1P1_F_DENV.3_P.QRA_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV.3_P.QRA_R
121	1G1P1_F_CDC10564_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	CDC10564_R
223	1G1P1_F_DortPfdaqoDV_2_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DortPfdaqoDV_2_R
207	1G1P1_F_Pan-DENV_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Pan-DENV_R
237	1G1P1_F_Dengue-2_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Dengue-2_R
221	1G1P1_F_R2_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	R2_R
180	1G1P1_F_D1–4_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	D1–4_R
204	1G1P1_F_Smnfgsodv_6_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Smnfgsodv_6_R
241	1G1P1_F_Den1_R10735_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Den1_R10735_R
221	1G1P1_F_DV.L1_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DV.L1_R
210	1G1P1_F_Fragment_B_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Fragment_B_R
244	1G1P1_F_Cebeof_1_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Cebeof_1_R
165	1G1P1_F_QSP-D2L_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	QSP-D2L_R
198	1G1P1_F_1G1P1_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	1G1P1_R
201	1G1P1_F_1G1P1_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	1G1P1_R
189	1G1P1_F_1G3P6_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	1G3P6_R
220	1G1P1_F_DENV3_35_RIGHT_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DENV3_35_RIGHT_R
158	1G1P1_F_DENV4_35_RIGHT_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DENV4_35_RIGHT_R
184	1G1P1_F_DENV2_36_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DENV2_36_R
206	1G1P1_F_DENV-3′-UTR_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DENV-3′-UTR_R
155	1G1P1_F_D-R3_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	D-R3_R
197	1G1P1_F_DENV_R1-3_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DENV_R1-3_R
197	1G1P1_F_DENV_R4_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DENV_R4_R
235	1G1P1_F_Den4_R10653_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	Den4_R10653_R
215	1G1P1_F_DV.L2_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DV.L2_R
152	1G1P1_F_Den_R2_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	Den_R2_R
176	1G1P1_F_Den_R2_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	Den_R2_R
116	1G1P1_F_Den_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	Den_R
177	1G1P1_F_DEN_RP2_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DEN_RP2_R
215	1G1P1_F_DenAs_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DenAs_R
216	1G1P1_F_DenAs_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DenAs_R
237	1G1P1_F_D2-10723_RV_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	D2-10723_RV_R
236	1G1P1_F_Primer_3_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	Primer_3_R
139	1G1P1_F_QSP-D3L_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	QSP-D3L_R
140	1G1P1_F_QSP-D4L_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	QSP-D4L_R
197	1G1P1_F_QST-D1L_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	QST-D1L_R
158	1G1P1_F_QST-D3L_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	QST-D3L_R
200	1G1P1_F_QST-D4L_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	QST-D4L_R
204	1G1P1_F_DENV.3_P.QRA_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DENV.3_P.QRA_R
115	1G1P1_F_CDC10564_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	CDC10564_R
217	1G1P1_F_DortPfdaqoDV_2_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DortPfdaqoDV_2_R
201	1G1P1_F_Pan-DENV_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	Pan-DENV_R
