Amplicon_Length	Combination_Name	Forward_Primer	Reference	Reverse_Primer
199	1G1P1_F_1G1P1_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	1G1P1_R
190	1G1P1_F_1G3P6_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	1G3P6_R
221	1G1P1_F_DENV3_35_RIGHT_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_35_RIGHT_R
159	1G1P1_F_DENV4_35_RIGHT_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_35_RIGHT_R
180	1G1P1_F_D3_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	D3_R
207	1G1P1_F_DENV-3′-UTR_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV-3′-UTR_R
156	1G1P1_F_D-R3_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	D-R3_R
198	1G1P1_F_DENV_R1-3_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV_R1-3_R
198	1G1P1_F_DENV_R4_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV_R4_R
153	1G1P1_F_Den_R2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Den_R2_R
216	1G1P1_F_DenAs_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DenAs_R
238	1G1P1_F_D2-10723_RV_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	D2-10723_RV_R
237	1G1P1_F_Primer_3_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Primer_3_R
198	1G1P1_F_QST-D1L_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	QST-D1L_R
159	1G1P1_F_QST-D3L_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	QST-D3L_R
205	1G1P1_F_DENV.3_P.QRA_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV.3_P.QRA_R
218	1G1P1_F_DortPfdaqoDV_2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DortPfdaqoDV_2_R
232	1G1P1_F_Dengue-2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Dengue-2_R
216	1G1P1_F_R2_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	R2_R
175	1G1P1_F_D1–4_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	D1–4_R
199	1G1P1_F_Smnfgsodv_6_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Smnfgsodv_6_R
216	1G1P1_F_DV.L1_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DV.L1_R
205	1G1P1_F_Fragment_B_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Fragment_B_R
239	1G1P1_F_Cebeof_1_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	Cebeof_1_R
160	1G1P1_F_QSP-D2L_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	QSP-D2L_R
215	1G1P1_F_DENV1_31_RIGHT_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_31_RIGHT_R
180	1G1P1_F_GAPDH_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	GAPDH_R
223	1G1P1_F_1453-1471_R	1G1P1_F	GCF_000871845.1_ViralProj20183_genomic	1453-1471_R
551	2G2P5_F_2G2P5_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	2G2P5_R
511	2G2P5_F_DENV1_32_RIGHT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_32_RIGHT_R
263	2G2P5_F_DENV2_33_RIGHT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_33_RIGHT_R
526	2G2P5_F_DENV2_34_RIGHT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_34_RIGHT_R
848	2G2P5_F_DENV2_35_RIGHT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_35_RIGHT_R
727	2G2P5_F_DENV3_13_RIGHT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_13_RIGHT_R
523	2G2P5_F_DENV3_31_RIGHT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_31_RIGHT_R
829	2G2P5_F_DENV3_32_RIGHT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_32_RIGHT_R
924	2G2P5_F_DENV4_11_RIGHT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_11_RIGHT_R
530	2G2P5_F_DENV4_31_RIGHT_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_31_RIGHT_R
