Amplicon_Length	Combination_Name	Forward_Primer	Genotype	Reference	Region	Reverse_Primer
353	DENV1_5_LEFT_F_DEN1_CC_1_R	DENV1_5_LEFT_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN1_CC_1_R
347	DENV1_5_LEFT_F_DEN1_CC_1_R	DENV1_5_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS1	DEN1_CC_1_R
353	DENV1_5_LEFT_F_DEN1_CC_1_R	DENV1_5_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS1	DEN1_CC_1_R
317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV1_5_RIGHT_R
326	DENV1_7_LEFT_F_DENV1_18_RIGHT_R	DENV1_7_LEFT_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV1_18_RIGHT_R
368	DENV1_11_LEFT_F_DENV1_11_RIGHT_R	DENV1_11_LEFT_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS3	DENV1_11_RIGHT_R
757	DENV1_11_LEFT_F_CYD1_R	DENV1_11_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS3	CYD1_R
381	DENV1_12_LEFT_F_DENV1_12_RIGHT_R	DENV1_12_LEFT_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS3	DENV1_12_RIGHT_R
633	DENV1_12_LEFT_F_D1_R	DENV1_12_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS3	D1_R
926	DENV1_13_LEFT_F_DEN-1-REVERSE_R	DENV1_13_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN-1-REVERSE_R
384	DENV1_18_LEFT_F_DENV1_18_RIGHT_R	DENV1_18_LEFT_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV1_18_RIGHT_R
758	DENV1_19_LEFT_F_DENV1_RN_R1_R	DENV1_19_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV1_RN_R1_R
772	DENV1_20_LEFT_F_5_R	DENV1_20_LEFT_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS3	5_R
431	DENV1_20_LEFT_F_DENV1_RN_R1_R	DENV1_20_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV1_RN_R1_R
322	DENV1_22_LEFT_F_DENV1_11_RIGHT_R	DENV1_22_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV1_11_RIGHT_R
603	DENV1_23_LEFT_F_DENV1_11_RIGHT_R	DENV1_23_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV1_11_RIGHT_R
373	DENV1_23_LEFT_F_DEN-1-REVERSE_R	DENV1_23_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN-1-REVERSE_R
580	DENV1_32_LEFT_F_DENV1_5_RIGHT_R	DENV1_32_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV1_5_RIGHT_R
513	DENV1_32_LEFT_F_DNM2_R	DENV1_32_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS1	DNM2_R
739	DENV2_5_LEFT_F_DENV2_27_RIGHT_R	DENV2_5_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV2_27_RIGHT_R
332	DENV2_12_LEFT_F_DENV2_17_RIGHT_R	DENV2_12_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS3	DENV2_17_RIGHT_R
773	DENV2_12_LEFT_F_DEN-2_R	DENV2_12_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS3	DEN-2_R
551	DENV2_13_LEFT_F_DEN-2_R	DENV2_13_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS3	DEN-2_R
368	DENV2_13_LEFT_F_REVERSE_R	DENV2_13_LEFT_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS3	REVERSE_R
537	DENV2_14_LEFT_F_DEN-2_R	DENV2_14_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS3	DEN-2_R
439	DENV2_18_LEFT_F_DEN2_CC_1_R	DENV2_18_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	DEN2_CC_1_R
760	DENV2_21_LEFT_F_DENV2_27_RIGHT_R	DENV2_21_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_27_RIGHT_R
716	DENV2_21_LEFT_F_2G2P5_R	DENV2_21_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	2G2P5_R
934	DENV2_21_LEFT_F_DENV2_23_RIGHT_R	DENV2_21_LEFT_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_23_RIGHT_R
652	DENV2_21_LEFT_F_MATK-1326_R	DENV2_21_LEFT_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	MATK-1326_R
551	DENV2_22_LEFT_F_DENV2_31_RIGHT_R	DENV2_22_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV2_31_RIGHT_R
375	DENV2_22_LEFT_F_NS3-1-O_R	DENV2_22_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	NS3-1-O_R
571	DENV2_22_LEFT_F_D2_R	DENV2_22_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R
571	DENV2_22_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_22_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	FAACOUFISPPAPR_4_R
314	DENV2_23_LEFT_F_DENV2_31_RIGHT_R	DENV2_23_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV2_31_RIGHT_R
334	DENV2_23_LEFT_F_D2_R	DENV2_23_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R
334	DENV2_23_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_23_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	FAACOUFISPPAPR_4_R
460	DENV2_24_LEFT_F_DENV2_RN_R1_R	DENV2_24_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_RN_R1_R
403	DENV2_24_LEFT_F_DOASSMFPSAGODV_6_R	DENV2_24_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DOASSMFPSAGODV_6_R
491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN-2_R
521	DENV3_5_LEFT_F_DEN3-1752_R	DENV3_5_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN3-1752_R
515	DENV3_5_LEFT_F_DEN3-1752_R	DENV3_5_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DEN3-1752_R
303	DENV3_6_LEFT_F_D3_R	DENV3_6_LEFT_F	DENV3	GCF_000865065.1_ViralProj15599_genomic	NS1	D3_R
398	DENV3_6_LEFT_F_DENV3_6_RIGHT_R	DENV3_6_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_6_RIGHT_R
317	DENV3_6_LEFT_F_DENV3_27_RIGHT_R	DENV3_6_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV3_27_RIGHT_R
479	DENV3_11_LEFT_F_D3_R	DENV3_11_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS3	D3_R
677	DENV3_11_LEFT_F_DENV3_12_RIGHT_R	DENV3_11_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS3	DENV3_12_RIGHT_R
455	DENV3_11_LEFT_F_DENV3_12_RIGHT_R	DENV3_11_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS3	DENV3_12_RIGHT_R
711	DENV3_16_LEFT_F_DENV3_4_RIGHT_R	DENV3_16_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_4_RIGHT_R
575	DENV3_16_LEFT_F_DEN3_CC_4_R	DENV3_16_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN3_CC_4_R
367	DENV3_18_LEFT_F_DENV3_18_RIGHT_R	DENV3_18_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_18_RIGHT_R
682	DENV3_18_LEFT_F_DENV3_19_RIGHT_R	DENV3_18_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_19_RIGHT_R
367	DENV3_18_LEFT_F_DENV3_18_RIGHT_R	DENV3_18_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_18_RIGHT_R
682	DENV3_18_LEFT_F_DENV3_19_RIGHT_R	DENV3_18_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_19_RIGHT_R
367	DENV3_18_LEFT_F_DENV3_18_RIGHT_R	DENV3_18_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_18_RIGHT_R
880	DENV3_18_LEFT_F_DEN3-2539_R	DENV3_18_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN3-2539_R
371	DENV3_19_LEFT_F_DENV3_19_RIGHT_R	DENV3_19_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_19_RIGHT_R
371	DENV3_19_LEFT_F_DENV3_19_RIGHT_R	DENV3_19_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_19_RIGHT_R
1002	DENV3_19_LEFT_F_DENV3_21_RIGHT_R	DENV3_19_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_21_RIGHT_R
1002	DENV3_19_LEFT_F_DENV3_21_RIGHT_R	DENV3_19_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_21_RIGHT_R
569	DENV3_19_LEFT_F_DEN3-2539_R	DENV3_19_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN3-2539_R
662	DENV3_20_LEFT_F_DENV3_4_RIGHT_R	DENV3_20_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_4_RIGHT_R
526	DENV3_20_LEFT_F_DEN3_CC_4_R	DENV3_20_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN3_CC_4_R
698	DENV3_20_LEFT_F_DENV3_21_RIGHT_R	DENV3_20_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_21_RIGHT_R
