Inner_Amplicon_Length	Inner_Combination_Name	Inner_Forward_Primer	Inner_Genotype	Inner_Reverse_Primer	Outer_Amplicon_Length	Outer_Combination_Name	Outer_Forward_Primer	Outer_Genotype	Outer_Reverse_Primer	Reference	Region
33	D1SEQ8_F_D2_R	D1SEQ8_F	DENV1	D2_R	317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	DENV1	DENV1_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	NS1
33	D1SEQ8_F_D2_R	D1SEQ8_F	DENV1	D2_R	317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	DENV1	DENV1_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	NS1
33	D1SEQ8_F_D2_R	D1SEQ8_F	DENV1	D2_R	317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	DENV1	DENV1_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	NS1
33	D1SEQ8_F_D2_R	D1SEQ8_F	DENV1	D2_R	317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	DENV1	DENV1_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	NS1
33	D1SEQ8_F_D2_R	D1SEQ8_F	DENV1	D2_R	317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	DENV1	DENV1_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	NS1
33	D1SEQ8_F_D2_R	D1SEQ8_F	DENV1	D2_R	317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	DENV1	DENV1_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	NS1
33	D1SEQ8_F_D2_R	D1SEQ8_F	DENV1	D2_R	317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	DENV1	DENV1_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	NS1
33	D1SEQ8_F_D2_R	D1SEQ8_F	DENV1	D2_R	317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	DENV1	DENV1_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	NS1
33	D1SEQ8_F_D2_R	D1SEQ8_F	DENV1	D2_R	317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	DENV1_6_LEFT_F	DENV1	DENV1_5_RIGHT_R	GCF_000871845.1_ViralProj20183_genomic	NS1
69	DENV1_13_LEFT_F_DENV1_18_RIGHT_R	DENV1_13_LEFT_F	DENV1	DENV1_18_RIGHT_R	326	DENV1_7_LEFT_F_DENV1_18_RIGHT_R	DENV1_7_LEFT_F	DENV1	DENV1_18_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	NS5
69	DENV1_13_LEFT_F_DENV1_18_RIGHT_R	DENV1_13_LEFT_F	DENV1	DENV1_18_RIGHT_R	326	DENV1_7_LEFT_F_DENV1_18_RIGHT_R	DENV1_7_LEFT_F	DENV1	DENV1_18_RIGHT_R	GCF_000865065.1_ViralProj15599_genomic	NS5
38	DENV1_13_LEFT_F_DENV1_18_RIGHT_R	DENV1_13_LEFT_F	DENV1	DENV1_18_RIGHT_R	926	DENV1_13_LEFT_F_DEN-1-REVERSE_R	DENV1_13_LEFT_F	DENV1	DEN-1-REVERSE_R	GCF_000871845.1_ViralProj20183_genomic	NS5
38	DENV1_13_LEFT_F_DENV1_18_RIGHT_R	DENV1_13_LEFT_F	DENV1	DENV1_18_RIGHT_R	926	DENV1_13_LEFT_F_DEN-1-REVERSE_R	DENV1_13_LEFT_F	DENV1	DEN-1-REVERSE_R	GCF_000871845.1_ViralProj20183_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	439	DENV2_18_LEFT_F_DEN2_CC_1_R	DENV2_18_LEFT_F	DENV2	DEN2_CC_1_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	439	DENV2_18_LEFT_F_DEN2_CC_1_R	DENV2_18_LEFT_F	DENV2	DEN2_CC_1_R	GCF_000866625.1_ViralProj15598_genomic	NS5
23	DENV2_SP2_F_MATK-1326_R	DENV2_SP2_F	DENV2	MATK-1326_R	439	DENV2_18_LEFT_F_DEN2_CC_1_R	DENV2_18_LEFT_F	DENV2	DEN2_CC_1_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	571	DENV2_22_LEFT_F_D2_R	DENV2_22_LEFT_F	DENV2	D2_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	571	DENV2_22_LEFT_F_D2_R	DENV2_22_LEFT_F	DENV2	D2_R	GCF_000866625.1_ViralProj15598_genomic	NS5
23	DENV2_SP2_F_MATK-1326_R	DENV2_SP2_F	DENV2	MATK-1326_R	571	DENV2_22_LEFT_F_D2_R	DENV2_22_LEFT_F	DENV2	D2_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	571	DENV2_22_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_22_LEFT_F	DENV2	FAACOUFISPPAPR_4_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	571	DENV2_22_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_22_LEFT_F	DENV2	FAACOUFISPPAPR_4_R	GCF_000866625.1_ViralProj15598_genomic	NS5
23	DENV2_SP2_F_MATK-1326_R	DENV2_SP2_F	DENV2	MATK-1326_R	571	DENV2_22_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_22_LEFT_F	DENV2	FAACOUFISPPAPR_4_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	334	DENV2_23_LEFT_F_D2_R	DENV2_23_LEFT_F	DENV2	D2_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	334	DENV2_23_LEFT_F_D2_R	DENV2_23_LEFT_F	DENV2	D2_R	GCF_000866625.1_ViralProj15598_genomic	NS5
23	DENV2_SP2_F_MATK-1326_R	DENV2_SP2_F	DENV2	MATK-1326_R	334	DENV2_23_LEFT_F_D2_R	DENV2_23_LEFT_F	DENV2	D2_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	334	DENV2_23_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_23_LEFT_F	DENV2	FAACOUFISPPAPR_4_R	GCF_000866625.1_ViralProj15598_genomic	NS5
55	DENV2_25_LEFT_F_MATK-1326_R	DENV2_25_LEFT_F	DENV2	MATK-1326_R	334	DENV2_23_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_23_LEFT_F	DENV2	FAACOUFISPPAPR_4_R	GCF_000866625.1_ViralProj15598_genomic	NS5
23	DENV2_SP2_F_MATK-1326_R	DENV2_SP2_F	DENV2	MATK-1326_R	334	DENV2_23_LEFT_F_FAACOUFISPPAPR_4_R	DENV2_23_LEFT_F	DENV2	FAACOUFISPPAPR_4_R	GCF_000866625.1_ViralProj15598_genomic	NS5
15	DENV2_6_LEFT_F_D2_R	DENV2_6_LEFT_F	DENV2	D2_R	491	DENV2_25_LEFT_F_DEN-2_R	DENV2_25_LEFT_F	DENV2	DEN-2_R	GCF_000862125.1_ViralProj15306_genomic	NS1
