accession_id	sequence_length
PP237836.1	452
PP237835.1	474
PP237834.1	488
PP237833.1	487
PP237832.1	457
PP237831.1	451
PP237830.1	485
PP237829.1	478
PP237828.1	473
PP237827.1	465
PP237826.1	468
PP237825.1	478
PP234967.1	9668
PP234966.1	10573
PP234965.1	10667
PP234964.1	10502
PP234963.1	10659
PP234962.1	10678
PP234961.1	10684
PP234960.1	10684
PP234959.1	10684
PP234958.1	10684
PP234957.1	10679
PP234956.1	10680
PP234955.1	10684
PP234954.1	10684
PP234953.1	10681
PP234952.1	10660
PP234951.1	10684
PP234950.1	820
PP234949.1	10284
PP234948.1	9867
PP234947.1	963
PP234946.1	10678
PP234945.1	10648
PP234944.1	1412
PP234943.1	2239
PP234942.1	4418
PP234941.1	10678
PP234940.1	10608
PP234939.1	10650
PP234938.1	10660
PP234937.1	10672
PP234936.1	10672
PP234935.1	10593
PP234934.1	10651
PP234933.1	10672
PP234932.1	10672
PP234931.1	1176
PP234930.1	10565
PP234929.1	1840
PP234928.1	10666
PP234927.1	10668
PP234926.1	10651
PP234925.1	10656
PP234924.1	10656
PP234923.1	10656
PP213459.1	10529
PP204095.1	10671
PP204094.1	10666
PP204093.1	10609
PP204092.1	10665
PP153331.1	446
PP153330.1	446
PP153329.1	444
PP153328.1	446
PP153327.1	446
PP087793.1	10638
PP087792.1	10689
PP087791.1	10689
PP087308.1	1479
PP087307.1	1479
PP087306.1	1479
OQ714408.1	10655
OQ714407.1	10663
OQ714406.1	10617
OQ131214.1	462
OQ131213.1	462
OQ131212.1	462
OQ131211.1	462
OQ131209.1	462
OQ131208.1	462
OQ131207.1	462
OQ131205.1	462
OQ131204.1	462
OQ131202.1	462
OQ131201.1	462
OQ131200.1	462
OQ131199.1	462
OQ131198.1	462
OQ131197.1	462
OQ131196.1	462
OQ131195.1	462
OQ131194.1	462
OQ131193.1	462
OQ131192.1	462
OQ131191.1	462
OQ131190.1	459
OQ131189.1	447
OQ131188.1	456
OQ131187.1	353
OQ131186.1	450
OQ131185.1	443
OQ131184.1	437
OQ131183.1	356
OQ131182.1	434
OQ131181.1	434
OQ131180.1	324
OQ131179.1	406
OQ131178.1	462
OQ131177.1	462
OQ131176.1	415
OQ131175.1	462
OQ131174.1	404
OQ131173.1	462
OQ120588.1	2526
OQ120587.1	2515
OQ511274.1	10702
OQ511273.1	9770
OQ511272.1	10709
OQ511271.1	9246
OP941689.1	1451
OP941688.1	1445
OP941687.1	1449
OP941686.1	1428
OP941685.1	1437
OP941684.1	1435
OP941683.1	1458
OP941682.1	1452
OP941681.1	1452
OP941680.1	1450
OP941679.1	1454
OP941678.1	1451
OP941677.1	1451
OR139897.1	539
OR139896.1	561
OR139895.1	609
OR139894.1	463
OR139893.1	609
MF094266.1	2176
MF094265.1	2218
MF094264.1	2243
MF094263.1	2159
MF094262.1	2212
MF094261.1	2216
MF094260.1	2198
MF094259.1	2214
MF094258.1	2230
MF094257.1	2234
MF094256.1	2215
MF094255.1	2230
MF094254.1	2217
MF094253.1	1608
MF094252.1	1499
MF094251.1	1554
MF094250.1	1605
MF094249.1	1611
MF094248.1	1620
MF094247.1	1551
MF094246.1	1604
MF094245.1	1607
MF094244.1	1600
MF094243.1	1633
MF094242.1	1608
MF094241.1	1621
MF094240.1	1554
MF094239.1	1583
MF094238.1	1590
MF094237.1	1552
MF094236.1	1597
MF094235.1	1606
MF094234.1	1607
MF094233.1	1601
MF094232.1	1608
MF094231.1	1605
MF094230.1	1605
MF094229.1	1575
MF094228.1	1562
MF094227.1	1554
MF094226.1	1629
MF094225.1	1628
MF094224.1	1619
MF094223.1	1571
MF094222.1	1581
MF094221.1	1522
MF094220.1	1561
MF094219.1	1592
MF094218.1	1560
MF094217.1	1579
MF094216.1	1606
MF094215.1	1581
MF094214.1	1549
MF094213.1	1604
MF094212.1	1558
MF094211.1	1545
MF094210.1	1581
MF094209.1	1593
MF094208.1	1566
MF094207.1	1580
MF094206.1	1561
MF094205.1	1606
MF094204.1	1571
MF094203.1	1599
MF094202.1	1603
MF094201.1	1626
MF094200.1	1711
MF094199.1	1631
MF094198.1	1648
MF094197.1	1598
MF094196.1	1671
MF094195.1	1666
MF094194.1	1640
MF094193.1	1632
MF094192.1	1631
MF094191.1	1657
MF094190.1	1588
MF094189.1	1650
MF094188.1	1699
MF094187.1	1658
MF094186.1	1626
MF094185.1	1694
MF094184.1	1669
MF094183.1	1712
MF094182.1	1640
MF094181.1	1659
MF094180.1	1630
MF094179.1	1634
MF094178.1	1629
MF094177.1	1693
MF094176.1	1682
MF094175.1	1677
MF094174.1	1693
MF094173.1	1658
MF094172.1	1662
MF094171.1	1664
MF094170.1	1670
MF094169.1	1609
MF094168.1	1656
MF094167.1	1657
MF094166.1	1602
MF094165.1	1657
MF094164.1	1630
MF094163.1	1604
MF094162.1	1628
MF094161.1	1715
MF094160.1	1715
MF094159.1	1698
MF094158.1	1698
MF094157.1	1631
MF094156.1	1643
MF094155.1	1717
MF094154.1	1607
MF094153.1	1631
MF094152.1	1707
MF094151.1	1718
MF094150.1	1626
MF094149.1	1669
MF094148.1	1655
MF094147.1	1655
MF094146.1	1657
MF094145.1	1631
MF094144.1	1718
MF094143.1	1636
MF094142.1	1726
MF094141.1	1701
MF094140.1	1657
MF094139.1	1630
MF094138.1	1722
MF094137.1	1657
OP811976.1	10164
OP811975.1	10164
OP811974.1	10164
OP811973.1	10164
OP811972.1	10164
OP811971.1	10164
OP811970.1	10164
OP811969.1	10164
OP811968.1	10164
OP811967.1	10164
OP811966.1	10164
OP811965.1	10164
OP811964.1	10164
OP811963.1	10164
OP811962.1	10164
OP811961.1	10164
OP811960.1	10164
OP811959.1	10164
OP811958.1	10164
OP811957.1	10164
OP811956.1	10164
OP811955.1	10164
OP811954.1	10164
OP811953.1	10164
OP811952.1	10164
OP811951.1	10164
OP811950.1	10164
OP811949.1	10164
OP811948.1	10164
OP811947.1	10164
OP811946.1	10164
OP811945.1	10164
OP811944.1	10164
OP811943.1	10164
OP811942.1	10164
OP811941.1	10164
OP811940.1	10164
OP811939.1	10164
OP811938.1	10164
OP811937.1	10164
OP811936.1	10164
OP811935.1	10164
OP811934.1	10164
OP811933.1	10164
OP811932.1	10164
OP811931.1	10164
OP811930.1	10164
OP811929.1	10164
OP811928.1	10164
OP811927.1	10164
OP811926.1	10164
OP811925.1	10164
OP811924.1	10164
OP811923.1	10164
OP811922.1	10164
OP811921.1	10164
OP811920.1	10164
OP811919.1	10164
OP811918.1	10164
OP811917.1	10164
OP811916.1	10164
OP811915.1	10164
OR977102.1	434
OR977101.1	452
OR977100.1	448
OR977099.1	10633
OR977098.1	10679
OR977097.1	10548
OR977096.1	10633
OR977095.1	10672
OR977094.1	10488
OR977093.1	10633
OR977092.1	10671
OR977091.1	10668
OR977090.1	10668
OR977089.1	10583
OR977088.1	10666
OR977087.1	10552
OR977086.1	10671
OR977085.1	10663
OR977084.1	10551
OR977083.1	10476
OR977082.1	10668
OR977081.1	10546
OR977080.1	10476
OR977079.1	10553
OR977078.1	10573
OR977077.1	10567
OR977076.1	10692
OR977075.1	10671
OR977074.1	10548
OR977073.1	10627
OR977072.1	10626
OR977071.1	10563
OR977070.1	10554
OR977069.1	10546
OR977068.1	10592
OR977067.1	10553
OR977066.1	10568
OR977065.1	10598
OR977064.1	10604
OR977063.1	10546
OR348418.1	599
OR348417.1	610
OR348416.1	610
OR348415.1	610
OR348414.1	610
OR348413.1	610
OR348412.1	610
OR348411.1	610
OR553391.1	410
OR553390.1	394
OR553389.1	396
OR553388.1	394
OR553387.1	610
OR553386.1	610
OR553385.1	610
OR553384.1	610
OR553383.1	610
OR553382.1	433
OR553381.1	610
OR545534.1	10113
OR545533.1	10113
OR545532.1	10113
OR545531.1	10113
OR545530.1	10113
OR545529.1	10113
OR545528.1	10113
OR545527.1	10113
OR545526.1	10113
OR545525.1	10113
OR545524.1	10113
OR545523.1	10113
OR545522.1	10113
OR545521.1	10113
OR545520.1	10113
OR545519.1	10050
OR545518.1	9631
OR520604.1	610
OR974906.1	436
OR973573.1	435
OR973572.1	444
OR965458.1	436
OR965457.1	439
OR965456.1	434
OR965455.1	449
OR259175.1	10595
OR259174.1	10641
OR259173.1	10609
OR936769.1	10716
OR936768.1	10722
OR936767.1	10721
OR936766.1	10706
OR936765.1	10718
OR936764.1	10707
OR936763.1	10703
OR936762.1	10723
OR936761.1	10725
OR936760.1	10709
OR936759.1	10720
OR936758.1	10669
OR936757.1	10665
OR936756.1	10702
OR936755.1	10624
OR936754.1	10709
OR936753.1	10706
OR936752.1	10642
OR923388.1	450
OR923387.1	443
OR922657.1	1479
OR922656.1	1479
OR922655.1	1479
OR922654.1	1479
OR922653.1	1479
OR800009.1	10698
OR800007.1	10715
OR918855.1	464
OR918856.1	426
OR918854.1	441
OR918853.1	441
OR918852.1	429
OR915568.1	427
OR915572.1	459
OR915573.1	440
OR915571.1	443
OR915569.1	444
OR915570.1	441
OR915567.1	432
OR915566.1	432
OR915565.1	444
OR915562.1	444
OR915564.1	396
OR915563.1	432
OR915560.1	383
OR915561.1	444
OR448787.1	10663
OR906021.1	441
OR902753.1	427
