Amplicon_Length	Combination_Name	First_Round_End	First_Round_Start	Forward_Primer	Genotype	Reference	Region	Reverse_Primer	Round_Type
317	DENV1_6_LEFT_F_DENV1_5_RIGHT_R	1722	1384	DENV1_6_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV1_5_RIGHT_R	first
326	DENV1_7_LEFT_F_DENV1_18_RIGHT_R	5419	5074	DENV1_7_LEFT_F	DENV1	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV1_18_RIGHT_R	first
368	DENV1_11_LEFT_F_DENV1_11_RIGHT_R	3489	3102	DENV1_11_LEFT_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS3	DENV1_11_RIGHT_R	first
757	DENV1_11_LEFT_F_CYD1_R	3883	3104	DENV1_11_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS3	CYD1_R	first
381	DENV1_12_LEFT_F_DENV1_12_RIGHT_R	3735	3329	DENV1_12_LEFT_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS3	DENV1_12_RIGHT_R	first
633	DENV1_12_LEFT_F_D1_R	3979	3323	DENV1_12_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS3	D1_R	first
1340	DENV1_18_LEFT_F_DENV1_21_RIGHT_R	6376	5015	DENV1_18_LEFT_F	DENV1	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV1_21_RIGHT_R	first
758	DENV1_19_LEFT_F_DENV1_RN_R1_R	6103	5327	DENV1_19_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV1_RN_R1_R	first
603	DENV1_23_LEFT_F_DENV1_11_RIGHT_R	6535	5913	DENV1_23_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV1_11_RIGHT_R	first
373	DENV1_23_LEFT_F_DEN-1-REVERSE_R	6305	5913	DENV1_23_LEFT_F	DENV1	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN-1-REVERSE_R	first
580	DENV1_32_LEFT_F_DENV1_5_RIGHT_R	1714	1113	DENV1_32_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV1_5_RIGHT_R	first
513	DENV1_32_LEFT_F_DNM2_R	1647	1113	DENV1_32_LEFT_F	DENV1	GCF_000866625.1_ViralProj15598_genomic	NS1	DNM2_R	first
739	DENV2_5_LEFT_F_DENV2_27_RIGHT_R	1951	1191	DENV2_5_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV2_27_RIGHT_R	first
332	DENV2_12_LEFT_F_DENV2_17_RIGHT_R	3515	3164	DENV2_12_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS3	DENV2_17_RIGHT_R	first
773	DENV2_12_LEFT_F_DEN-2_R	3956	3164	DENV2_12_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS3	DEN-2_R	first
551	DENV2_13_LEFT_F_DEN-2_R	3956	3386	DENV2_13_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS3	DEN-2_R	first
368	DENV2_13_LEFT_F_REVERSE_R	3780	3388	DENV2_13_LEFT_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS3	REVERSE_R	first
537	DENV2_14_LEFT_F_DEN-2_R	3956	3400	DENV2_14_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS3	DEN-2_R	first
439	DENV2_18_LEFT_F_DEN2_CC_1_R	6723	6261	DENV2_18_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	DEN2_CC_1_R	first
1324	DENV2_19_LEFT_F_DENV2_27_RIGHT_R	6351	5006	DENV2_19_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_27_RIGHT_R	first
1277	DENV2_19_LEFT_F_2G2P5_R	6307	5010	DENV2_19_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	2G2P5_R	first
1213	DENV2_19_LEFT_F_MATK-1326_R	6242	5008	DENV2_19_LEFT_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	MATK-1326_R	first
760	DENV2_21_LEFT_F_DENV2_27_RIGHT_R	6351	5570	DENV2_21_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_27_RIGHT_R	first
716	DENV2_21_LEFT_F_2G2P5_R	6307	5571	DENV2_21_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	2G2P5_R	first
934	DENV2_21_LEFT_F_DENV2_23_RIGHT_R	6522	5569	DENV2_21_LEFT_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV2_23_RIGHT_R	first
652	DENV2_21_LEFT_F_MATK-1326_R	6242	5569	DENV2_21_LEFT_F	DENV2	GCF_000871845.1_ViralProj20183_genomic	NS5	MATK-1326_R	first
551	DENV2_22_LEFT_F_DENV2_31_RIGHT_R	6459	5885	DENV2_22_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV2_31_RIGHT_R	first
375	DENV2_22_LEFT_F_NS3-1-O_R	6281	5885	DENV2_22_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	NS3-1-O_R	first
571	DENV2_22_LEFT_F_D2_R	6470	5878	DENV2_22_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
571	DENV2_22_LEFT_F_FAACOUFISPPAPR_4_R	6470	5878	DENV2_22_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	FAACOUFISPPAPR_4_R	first
314	DENV2_23_LEFT_F_DENV2_31_RIGHT_R	6459	6122	DENV2_23_LEFT_F	DENV2	GCF_000865065.1_ViralProj15599_genomic	NS5	DENV2_31_RIGHT_R	first
334	DENV2_23_LEFT_F_D2_R	6470	6115	DENV2_23_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	D2_R	first
334	DENV2_23_LEFT_F_FAACOUFISPPAPR_4_R	6470	6115	DENV2_23_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	FAACOUFISPPAPR_4_R	first
460	DENV2_24_LEFT_F_DENV2_RN_R1_R	6834	6354	DENV2_24_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV2_RN_R1_R	first
491	DENV2_25_LEFT_F_DEN-2_R	1548	1038	DENV2_25_LEFT_F	DENV2	GCF_000862125.1_ViralProj15306_genomic	NS1	DEN-2_R	first
1329	DENV2_26_LEFT_F_MATK-1326_R	6439	5089	DENV2_26_LEFT_F	DENV2	GCF_000866625.1_ViralProj15598_genomic	NS5	MATK-1326_R	first
398	DENV3_6_LEFT_F_DENV3_6_RIGHT_R	1963	1544	DENV3_6_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS1	DENV3_6_RIGHT_R	first
317	DENV3_6_LEFT_F_DENV3_27_RIGHT_R	1890	1552	DENV3_6_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS1	DENV3_27_RIGHT_R	first
711	DENV3_16_LEFT_F_DENV3_4_RIGHT_R	6476	5744	DENV3_16_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_4_RIGHT_R	first
575	DENV3_16_LEFT_F_DEN3_CC_4_R	6339	5744	DENV3_16_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DEN3_CC_4_R	first
367	DENV3_18_LEFT_F_DENV3_18_RIGHT_R	5566	5178	DENV3_18_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_18_RIGHT_R	first
682	DENV3_18_LEFT_F_DENV3_19_RIGHT_R	5879	5178	DENV3_18_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_19_RIGHT_R	first
367	DENV3_18_LEFT_F_DENV3_18_RIGHT_R	5560	5172	DENV3_18_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_18_RIGHT_R	first
682	DENV3_18_LEFT_F_DENV3_19_RIGHT_R	5873	5172	DENV3_18_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_19_RIGHT_R	first
1313	DENV3_18_LEFT_F_DENV3_21_RIGHT_R	6504	5172	DENV3_18_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_21_RIGHT_R	first
367	DENV3_18_LEFT_F_DENV3_18_RIGHT_R	5565	5177	DENV3_18_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_18_RIGHT_R	first
1313	DENV3_18_LEFT_F_DENV3_21_RIGHT_R	6509	5177	DENV3_18_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_21_RIGHT_R	first
371	DENV3_19_LEFT_F_DENV3_19_RIGHT_R	5879	5489	DENV3_19_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	DENV3_19_RIGHT_R	first
1430	DENV3_19_LEFT_F_POHGGTAITPBOPWADHF_6_R	6937	5489	DENV3_19_LEFT_F	DENV3	GCF_000862125.1_ViralProj15306_genomic	NS5	POHGGTAITPBOPWADHF_6_R	first
371	DENV3_19_LEFT_F_DENV3_19_RIGHT_R	5873	5483	DENV3_19_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_19_RIGHT_R	first
1002	DENV3_19_LEFT_F_DENV3_21_RIGHT_R	6504	5483	DENV3_19_LEFT_F	DENV3	GCF_000866625.1_ViralProj15598_genomic	NS5	DENV3_21_RIGHT_R	first
1002	DENV3_19_LEFT_F_DENV3_21_RIGHT_R	6509	5488	DENV3_19_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_21_RIGHT_R	first
1073	DENV3_19_LEFT_F_DENV3_34_RIGHT_R	6580	5488	DENV3_19_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DENV3_34_RIGHT_R	first
569	DENV3_19_LEFT_F_DEN3-2539_R	6075	5488	DENV3_19_LEFT_F	DENV3	GCF_000871845.1_ViralProj20183_genomic	NS5	DEN3-2539_R	first
