Amplicon_Length	Combination_Name	Forward_Primer	Reference	Reverse_Primer
81	1G1P1_F_DENV2_37_RIGHT_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_37_RIGHT_R
48	1G1P1_F_DENV3_34_RIGHT_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_34_RIGHT_R
31	1G1P1_F_DENV4_17_RIGHT_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_17_RIGHT_R
83	1G1P1_F_D-L_R	1G1P1_F	GCF_000862125.1_ViralProj15306_genomic	D-L_R
88	1G1P1_F_DENV2_37_RIGHT_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_37_RIGHT_R
48	1G1P1_F_DENV3_34_RIGHT_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_34_RIGHT_R
29	1G1P1_F_DENV4_34_RIGHT_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DENV4_34_RIGHT_R
34	1G1P1_F_Smnfgsodv_7_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	Smnfgsodv_7_R
51	1G1P1_F_DEN-1_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	DEN-1_R
52	1G1P1_F_TS1_R	1G1P1_F	GCF_000865065.1_ViralProj15599_genomic	TS1_R
48	1G1P1_F_DENV3_34_RIGHT_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DENV3_34_RIGHT_R
29	1G1P1_F_DENV4_34_RIGHT_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	DENV4_34_RIGHT_R
34	1G1P1_F_Smnfgsodv_7_R	1G1P1_F	GCF_000866625.1_ViralProj15598_genomic	Smnfgsodv_7_R
84	1G1P1_F_DENV2_37_RIGHT_R	1G1P1_F	GCF_000871845.1_ViralProj20183_genomic	DENV2_37_RIGHT_R
29	1G1P1_F_DENV4_34_RIGHT_R	1G1P1_F	GCF_000871845.1_ViralProj20183_genomic	DENV4_34_RIGHT_R
34	1G1P1_F_Smnfgsodv_7_R	1G1P1_F	GCF_000871845.1_ViralProj20183_genomic	Smnfgsodv_7_R
25	1G1P1_F_rbcLa_R	1G1P1_F	GCF_000871845.1_ViralProj20183_genomic	rbcLa_R
5	2G2P5_F_DENV1-LAB-14R-CC_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV1-LAB-14R-CC_R
64	2G2P5_F_NS3_Antisense_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	NS3_Antisense_R
11	2G2P5_F_DENV1_33_RIGHT_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_33_RIGHT_R
42	2G2P5_F_DENV2_12_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_12_R
5	2G2P5_F_DENV1-LAB-14R-CC_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV1-LAB-14R-CC_R
64	2G2P5_F_NS3_Antisense_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	NS3_Antisense_R
5	2G2P5_F_DENV1-LAB-14R-CC_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	DENV1-LAB-14R-CC_R
64	2G2P5_F_NS3_Antisense_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	NS3_Antisense_R
5	2G2P5_F_DENV1-LAB-14R-CC_R	2G2P5_F	GCF_000871845.1_ViralProj20183_genomic	DENV1-LAB-14R-CC_R
7	2G2P5_F_DENV1-LAB-14R-CC_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	DENV1-LAB-14R-CC_R
66	2G2P5_F_NS3_Antisense_R	2G2P5_F	GCF_000862125.1_ViralProj15306_genomic	NS3_Antisense_R
13	2G2P5_F_DENV1_33_RIGHT_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_33_RIGHT_R
44	2G2P5_F_DENV2_12_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_12_R
7	2G2P5_F_DENV1-LAB-14R-CC_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	DENV1-LAB-14R-CC_R
66	2G2P5_F_NS3_Antisense_R	2G2P5_F	GCF_000865065.1_ViralProj15599_genomic	NS3_Antisense_R
7	2G2P5_F_DENV1-LAB-14R-CC_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	DENV1-LAB-14R-CC_R
66	2G2P5_F_NS3_Antisense_R	2G2P5_F	GCF_000866625.1_ViralProj15598_genomic	NS3_Antisense_R
7	2G2P5_F_DENV1-LAB-14R-CC_R	2G2P5_F	GCF_000871845.1_ViralProj20183_genomic	DENV1-LAB-14R-CC_R
51	1G3P6_F_DENV2_37_RIGHT_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DENV2_37_RIGHT_R
18	1G3P6_F_DENV3_34_RIGHT_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DENV3_34_RIGHT_R
1	1G3P6_F_DENV4_17_RIGHT_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_17_RIGHT_R
83	1G3P6_F_DENV4_34_RIGHT_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_34_RIGHT_R
88	1G3P6_F_Smnfgsodv_7_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	Smnfgsodv_7_R
53	1G3P6_F_D-L_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	D-L_R
85	1G3P6_F_Den_R	1G3P6_F	GCF_000862125.1_ViralProj15306_genomic	Den_R
58	1G3P6_F_DENV2_37_RIGHT_R	1G3P6_F	GCF_000865065.1_ViralProj15599_genomic	DENV2_37_RIGHT_R
18	1G3P6_F_DENV3_34_RIGHT_R	1G3P6_F	GCF_000865065.1_ViralProj15599_genomic	DENV3_34_RIGHT_R
4	1G3P6_F_Smnfgsodv_7_R	1G3P6_F	GCF_000865065.1_ViralProj15599_genomic	Smnfgsodv_7_R
92	1G3P6_F_Den_R	1G3P6_F	GCF_000865065.1_ViralProj15599_genomic	Den_R
21	1G3P6_F_DEN-1_R	1G3P6_F	GCF_000865065.1_ViralProj15599_genomic	DEN-1_R
22	1G3P6_F_TS1_R	1G3P6_F	GCF_000865065.1_ViralProj15599_genomic	TS1_R
18	1G3P6_F_DENV3_34_RIGHT_R	1G3P6_F	GCF_000866625.1_ViralProj15598_genomic	DENV3_34_RIGHT_R
4	1G3P6_F_Smnfgsodv_7_R	1G3P6_F	GCF_000866625.1_ViralProj15598_genomic	Smnfgsodv_7_R
86	1G3P6_F_Den_R	1G3P6_F	GCF_000866625.1_ViralProj15598_genomic	Den_R
54	1G3P6_F_DENV2_37_RIGHT_R	1G3P6_F	GCF_000871845.1_ViralProj20183_genomic	DENV2_37_RIGHT_R
4	1G3P6_F_Smnfgsodv_7_R	1G3P6_F	GCF_000871845.1_ViralProj20183_genomic	Smnfgsodv_7_R
88	1G3P6_F_Den_R	1G3P6_F	GCF_000871845.1_ViralProj20183_genomic	Den_R
5	1G4P217_F_DEN-4_Reverse_R	1G4P217_F	GCF_000862125.1_ViralProj15306_genomic	DEN-4_Reverse_R
5	1G4P217_F_DEN-4_Reverse_R	1G4P217_F	GCF_000865065.1_ViralProj15599_genomic	DEN-4_Reverse_R
87	1G4P217_F_DEN-3-reverse_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	DEN-3-reverse_R
5	1G4P217_F_DEN-4_Reverse_R	1G4P217_F	GCF_000866625.1_ViralProj15598_genomic	DEN-4_Reverse_R
5	1G4P217_F_DEN-4_Reverse_R	1G4P217_F	GCF_000871845.1_ViralProj20183_genomic	DEN-4_Reverse_R
38	1G5P30_F_DENV1_SP4_R	1G5P30_F	GCF_000862125.1_ViralProj15306_genomic	DENV1_SP4_R
38	1G5P30_F_DENV1_SP4_R	1G5P30_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_SP4_R
38	1G5P30_F_DENV1_SP4_R	1G5P30_F	GCF_000866625.1_ViralProj15598_genomic	DENV1_SP4_R
38	1G5P30_F_DENV1_SP4_R	1G5P30_F	GCF_000871845.1_ViralProj20183_genomic	DENV1_SP4_R
90	MsoaiN_1_F_MsoaiN_2_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	MsoaiN_2_R
19	MsoaiN_1_F_DENV4_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DENV4_R
27	MsoaiN_1_F_DEN-3_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DEN-3_R
98	MsoaiN_1_F_DEN-2_Reverse_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	DEN-2_Reverse_R
11	MsoaiN_1_F_CYD4_R	MsoaiN_1_F	GCF_000862125.1_ViralProj15306_genomic	CYD4_R
10	MsoaiN_1_F_DENV1_35_RIGHT_R	MsoaiN_1_F	GCF_000865065.1_ViralProj15599_genomic	DENV1_35_RIGHT_R
