Forward_Primer	Reverse_Primer	Combination_Name	Reference	Amplicon_Length	Round_Type
1G1P1_F	1G1P1_R	1G1P1_F_1G1P1_R	GCF_000862125.1_ViralProj15306_genomic	199	first
1G1P1_F	1G1P1_R	1G1P1_F_1G1P1_R	GCF_000862125.1_ViralProj15306_genomic	202	first
1G1P1_F	1G3P6_R	1G1P1_F_1G3P6_R	GCF_000862125.1_ViralProj15306_genomic	190	first
1G1P1_F	DENV3_35_RIGHT_R	1G1P1_F_DENV3_35_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	221	first
1G1P1_F	DENV4_35_RIGHT_R	1G1P1_F_DENV4_35_RIGHT_R	GCF_000862125.1_ViralProj15306_genomic	159	first
1G1P1_F	D3_R	1G1P1_F_D3_R	GCF_000862125.1_ViralProj15306_genomic	180	first
1G1P1_F	DENV2_36_R	1G1P1_F_DENV2_36_R	GCF_000862125.1_ViralProj15306_genomic	185	first
1G1P1_F	DENV-3′-UTR_R	1G1P1_F_DENV-3′-UTR_R	GCF_000862125.1_ViralProj15306_genomic	207	first
1G1P1_F	D-R3_R	1G1P1_F_D-R3_R	GCF_000862125.1_ViralProj15306_genomic	156	first
1G1P1_F	DENV_R1-3_R	1G1P1_F_DENV_R1-3_R	GCF_000862125.1_ViralProj15306_genomic	198	first
1G1P1_F	DENV_R4_R	1G1P1_F_DENV_R4_R	GCF_000862125.1_ViralProj15306_genomic	198	first
1G1P1_F	Den4_R10653_R	1G1P1_F_Den4_R10653_R	GCF_000862125.1_ViralProj15306_genomic	236	first
1G1P1_F	DV.L2_R	1G1P1_F_DV.L2_R	GCF_000862125.1_ViralProj15306_genomic	216	first
1G1P1_F	Den_R2_R	1G1P1_F_Den_R2_R	GCF_000862125.1_ViralProj15306_genomic	153	first
1G1P1_F	Den_R2_R	1G1P1_F_Den_R2_R	GCF_000862125.1_ViralProj15306_genomic	177	first
1G1P1_F	DEN_RP2_R	1G1P1_F_DEN_RP2_R	GCF_000862125.1_ViralProj15306_genomic	178	first
1G1P1_F	DenAs_R	1G1P1_F_DenAs_R	GCF_000862125.1_ViralProj15306_genomic	216	first
1G1P1_F	DenAs_R	1G1P1_F_DenAs_R	GCF_000862125.1_ViralProj15306_genomic	217	first
1G1P1_F	D2-10723_RV_R	1G1P1_F_D2-10723_RV_R	GCF_000862125.1_ViralProj15306_genomic	238	first
1G1P1_F	Primer_3_R	1G1P1_F_Primer_3_R	GCF_000862125.1_ViralProj15306_genomic	237	first
1G1P1_F	QST-D1L_R	1G1P1_F_QST-D1L_R	GCF_000862125.1_ViralProj15306_genomic	198	first
1G1P1_F	QST-D3L_R	1G1P1_F_QST-D3L_R	GCF_000862125.1_ViralProj15306_genomic	159	first
1G1P1_F	QST-D4L_R	1G1P1_F_QST-D4L_R	GCF_000862125.1_ViralProj15306_genomic	201	first
1G1P1_F	DENV.3_P.QRA_R	1G1P1_F_DENV.3_P.QRA_R	GCF_000862125.1_ViralProj15306_genomic	205	first
1G1P1_F	DortPfdaqoDV_2_R	1G1P1_F_DortPfdaqoDV_2_R	GCF_000862125.1_ViralProj15306_genomic	218	first
1G1P1_F	Pan-DENV_R	1G1P1_F_Pan-DENV_R	GCF_000862125.1_ViralProj15306_genomic	202	first
1G1P1_F	Dengue-2_R	1G1P1_F_Dengue-2_R	GCF_000862125.1_ViralProj15306_genomic	232	first
1G1P1_F	R2_R	1G1P1_F_R2_R	GCF_000862125.1_ViralProj15306_genomic	216	first
1G1P1_F	D1–4_R	1G1P1_F_D1–4_R	GCF_000862125.1_ViralProj15306_genomic	175	first
